link,price,year,mileage,title,fuel_type,gearbox,isPrivateSeller,Version,Color,Transmission,Country,Original_owner,No_accident,Type,Capacity,Power
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-pakiet-amg-premium-salon-pl-fv23-auto-frelik-bydgoszcz-ID6Gin0X.html,154 900,2023,19 800 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Srebrny","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-163km-amgline-vat23-autoryzowany-salon-mercedes-benz-ID6GN13f.html,199 900,2024,15 000 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Biały","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Coupe,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-pl-amg-line-kamera-advantage-ID6GRD9E.html,145 000,2023,38 135 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Biały",,"Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200d-amg-line-salon-polska-autotrade-mercedes-benz-ID6GYa5i.html,126 900,2020,67 200 km,Mercedes-Benz CLA 200 d AMG Line 8G-DCT,Diesel,Automatyczna,FALSE,"Wersja
200 d AMG Line 8G-DCT","Kolor
Biały","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 950 cm3,150 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-220-4matic-amg-multibeam-led-asystent-martwego-pola-ID6GP0xB.html,220 034,2024,5 km,Mercedes-Benz CLA 220 4-Matic AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 4-Matic AMG Line 7G-DCT","Kolor
Czarny","4matic","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Coupe,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla200-coupe-163km-amg-premium-promocja-dostepny-od-reki-ID6GRNLy.html,190 500,2024,10 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Biały",,"Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Coupe,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla200-coupe-163km-amg-premium-promocja-dostepny-od-reki-ID6GRNLc.html,193 900,2024,8 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Niebieski","Front","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Coupe,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-shooting-brake-advantage-1-3-136km-7g-dct-2022-r-salon-pl-f-a-vat-ID6H7gyA.html,125 900,2022,36 200 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE,,"Kolor
Czarny",,"Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 300 cm3,136 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-250-4matic-shooting-brake-mb-motors-piaseczno-ID6H8fyi.html,243 599,2024,5 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE,,"Kolor
Srebrny","4matic","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 991 cm3,224 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-pakiet-amg-premium-plus-faktura-vat-23-emil-frey-select-ID6GSO6P.html,199 900,2024,16 697 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE,,"Kolor
Czarny","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Sedan,1 332 cm3,163 KM
